min_cluster_size,min_sample,n_dim,validity_index_score,noise,top_10,top_1,n_clusters,total
350,9,10,0.29014743489099865,40568,31855,6625,55,104253
300,10,10,0.24563388579514034,40153,32063,6586,57,104253
300,8,10,0.24740364851753607,39307,31168,6494,60,104253
350,10,10,0.2737182870738326,40343,32651,6586,53,104253
350,15,10,0.18797797907433866,38311,34303,6955,55,104253
350,10,10,0.2737182870738326,40343,32651,6586,53,104253
350,8,10,0.26371566276612035,38957,32378,6494,57,104253
400,9,10,0.2877224518079492,41552,32908,7428,47,104253
400,10,10,0.24782565027444792,40641,33590,7428,46,104253
400,10,10,0.24782565027444792,40641,33590,7428,46,104253
450,9,10,0.2717175744560932,43253,32908,7428,43,104253
400,15,10,0.17759453981057502,39606,35567,7425,46,104253
400,8,10,0.2595282878684712,40103,33573,7431,48,104253
450,10,10,0.28976636711247056,41605,34313,7428,42,104253
450,10,10,0.28976636711247056,41605,34313,7428,42,104253
500,9,10,0.25668075610669683,45195,32908,7428,39,104253
450,8,10,0.29775882707694945,41781,33573,7431,44,104253
450,15,10,0.2201008260319423,40208,36254,7425,43,104253
500,10,10,0.23317402596483516,43061,34799,7428,38,104253
500,10,10,0.23317402596483516,43061,34799,7428,38,104253
500,8,10,0.27822181613536234,44198,33573,7431,39,104253
500,15,10,0.2431810025793681,41906,36254,7425,38,104253
50,30,10,0.2956037899861084,39907,22337,3869,172,104253
50,25,10,0.265319651223604,39282,22772,4358,174,104253
50,20,10,0.28161312068055405,38569,22494,3860,182,104253
50,35,10,0.2644215451725506,36939,28217,7409,158,104253
50,40,10,0.3113077685126672,36232,28677,7430,153,104253
60,30,10,0.28720407391609604,40244,22337,3869,151,104253
60,20,10,0.31940142111878844,35141,28629,7419,147,104253
60,25,10,0.2544016389087503,36254,28987,7423,146,104253
60,35,10,0.2886624876542345,36542,28217,7409,137,104253
60,40,10,0.2968305831795224,36956,27931,7430,139,104253
70,30,10,0.32589435684193846,36065,28475,7422,130,104253
70,20,10,0.3190205181739838,35256,28629,7419,137,104253
70,25,10,0.24246282108030462,36252,28987,7423,132,104253
