,28.0,24.0,14.0,19.0,10.0,43.0,9.0,33.0,26.0,37.0,35.0,0.0,21.0,42.0,15.0,11.0,30.0,22.0,39.0,5.0,1.0,18.0,2.0,23.0,27.0,13.0,17.0,41.0,12.0,34.0,32.0,3.0,6.0,38.0,25.0,31.0,20.0,4.0,36.0,7.0,40.0,8.0,29.0,16.0
89,jaén,paridad,rdl,igualdad,fitur,bce,quenadiesequedeatrás,,marlaska,sesiondeinvestura,mocionseptiembre,bulos,leonesp,desescalada,calidaddelaire,interparlamentaria,miranda,nadiesequedaatras,torrente,,,,felizlunes,economíacircular,lacafeteraturra,sesióndecontrol,bilbao,lexnet,díamundialcontraelcáncer,preguntasparlamentarias,bonavista,plenocongreso,,,yoapoyoalgobierno,mascarillasfake,,,juntosharemoshistoria,,cooperacion,,,
90,granada,auschwitz,vivienda,violenciadegénero,medioambiente,wallstreet,movilidad,,benidorm,gobierno,motivosparalamocion,whatsapp,posidonia,alcoa,frenarlosdesahucios,xurés,briviesca,diamundialdelmedioambiente,doblevara,,,,laflautamágica,españacircular2030,emergenciaclimatica,alcolea,unplanparaelfuturo,graciasayuso,alzheimer,acuerdosocial,laalternativa,elingresomásdigno,,,ppvoxcs,sanchezveteya,,,agrarias,,justicia,,,
91,marmenor,holocausto,lleida,lainfanciapregunta,retodemográfico,ebau,farmacias,,zaragoza,porespaña,lanoche24h,congresoabiertoya,comunidaddemadrid,ela,cieza,equiparacionsalarial,bureba,querellaborbón,catalunya,,,,mozart,plenocongreso,unidaspodemos,diainternacionaldelosmuseos,santander,corrupción,entroido,protestas,fake,españoles,,,escudosocialcoronavirus,espananoesunmito,,,pac,,ibiza,,,
92,mediorural,sanchezdimision,gibraltar,sanchezveteya,aplausosanitario,stopcies,centenariocgcom,,reflexiones,españasiempre,elsavador,bandadetamboresycornetas,descubreburgos,diamundialdelaela,alemania,ddhh,resistencia,emérito,invent,,,,podemosciao,derechas,universidadpróxima,caravanagobiernodimision,homenajedeestado,púnica,l6nportavozmontero,valencia,graciasvox,retodemografico,,,boe,euvsvirus,,,díamundialcontralatrata,,estadodealarma,,,
93,sesiondecontrol,pp,stopokupas,iglesiasveteya,solosíessí,preguntasparlamentarias,gobiernoprogresista,,díadesevilla,madrid,recitalporlamemoria,cofradiasantocristo,,portugalete,microcréditosreturns,abalosmeco,aforamiento,hevotadosí,preguntasparlamentarias,,,,deporteydiversidad,diamundialdelmedioambiente,twitterresponde,stopantigitanismo,gandia,bárcenas,cedillodelatorre,gobiernodimision,votoútil,gasteiz,,,artículo52d,diamundialdelatierra,,,tratadepersonas,,faselibertad,,,
94,sosefectollamada,comisióndesanidad,agricultura,asambleamadrid,felizlunes,mujerporencimadetodo,covid,,equiparaciónya,mucientes,fórumeuropa,cr,,comisióndereconstrucción,45veteranos,clm,cuándonohaymás,ingresovital,sanchezvendeespana,,,,deporte,gravisimo,tvemanipuladora,bastaderacismo,diacontralatrata,ejecutivafederal,equal,faselibertad,unidadnacional,galiciaesverdevox,,,ere,interior,,,mociónseptiembre,,huesca,,,
95,plenocongreso,castillayleon,pinoso,tea,igualdadsalarial,fitur,halamadrid,,macariovalpuesta,nadiacalviño,libertad,ayuntamientos,,cmin,mejorunidos,liberal,laalternativaenvistalegre,ue,apoyo,,,,diversidad,espana,marlaskadimision,covid,diputaciónpermanente,allopresidente,estadodeemergencia,activarespaña,espanaexiste,díadelamúsica,,,andalucia,alopresidente,,,conferenciadepresidentes,,17mayo,,,
96,reconstrucciónjusta,fuertesyunidos,desertificación,agrarios,protejamosespaña,gredos,copa2020,,trabajoinfantil,crisisclimática,orihuela,comisióndesanidad,,eldebateetb,protejamosespaña,corinnavirus,graciasanuestrostrabajadores,políticaútil,memoria,,,,pandemia,dianacionaldelamoto,funcionariosdeprisiones,georgeflyod,nitdel,lomloe,fuckingshitvox,desescaladverde,avila,congresodiputados,,,waterpolo,transparencia,,,gobernanza,,nomolesteprogre,,,
97,díamundialdelosocéanos,díamundialdelasalud,pobreza,alimentarios,navarra,ávila,cef,,estado,jazz,referentesgalegas,ridículo,,covid__19,gracias,españadelosbalcones,pp,vascos,dignidad,,,,aute,dijon,ilpjusapol,prouracisme,elx,pp,censuraparental,seguimos,los52devox,ábalosdimisión,,,carmenolmedo,milenarismoooo,,,transiciones,,pp,,,
98,acuerdosocial,graciashéroes,hambrunas,allopresidente,atresmediacensura,abalosgate,7n,,brechasalarial,cinema,altoriesgo,revoluciondelosclaveles,,nissan,ot,salvarvidas,educaciónpública,españoles,justicia,,,,valériemanteau,madrileños,murcia,torrejondeardoz,ugt,almería,caféluisplanas,consejodeministros,españaexiste,ministrofake,,,epidemiamundial,plenocongreso,,,grac1as,,doctorfraude,,,
